qid,domain,answer_format,type,answer,question_brief
ins_a_001,insurance,mcq,推理判断,,关于四个养老保险/寿险产品的“身故保险金”，以下计算结果正确的是？假设所有产品的
ins_a_002,insurance,mcq,计算题,,假设投保人分别投保了平安智盈金生、国寿增益宝、平安富鸿金生。平安智盈金生累计所交
ins_a_003,insurance,mcq,计算题,D,李某投保了众安白血病医疗险、平安e生保（计划二，免赔额5000元）、太保团体百万
ins_a_004,insurance,mcq,逻辑推理,,关于“等待期”内出险的处理，以下哪种情形下保险公司需要承担赔偿责任？
ins_a_005,insurance,multi,逻辑推理,,下列哪些情形属于相应保险产品的免责范围？
ins_a_006,insurance,mcq,计算题,,王某投保了平安e生保（计划一：免赔额1万元，家庭共享）和太保团体百万医疗（免赔额
ins_a_007,insurance,multi,推理判断,BC,关于“保单贷款”，以下哪些说法正确？
ins_a_008,insurance,multi,比较分析,,关于“特定药品费用”的报销，下列哪些说法符合条款规定？
ins_a_009,insurance,multi,逻辑推理,,张某在驾驶特种车作业时，因操作不当导致车辆侧翻，本人受伤住院。他投保了平安预防接
ins_a_010,insurance,multi,事实查询,,关于“现金价值”的表述，下列哪些产品的条款中明确给出了具体的计算方法或公式？
ins_a_011,insurance,multi,推理判断,,李某同时投保了众安白血病医疗险、平安e生保、太保团体百万医疗、众安营运交通意外险
ins_a_012,insurance,multi,事实查询,,关于“宽限期”后合同效力中止的处理，下列哪些产品的条款中明确：效力中止期间发生保
ins_a_013,insurance,mcq,比较分析,,三个养老保险产品（平安智盈金生、国寿鑫享添盈、平安富鸿金生）关于“养老年金开始领
ins_a_014,insurance,multi,逻辑推理,,赵某因意外事故导致双耳失聪，他投保了以下哪些产品可以获得赔付？
ins_a_015,insurance,multi,比较分析,,关于“故意自伤或自杀”的免责，以下哪些产品的条款中明确将“自杀”列为责任免除，但
ins_a_016,insurance,multi,事实查询,CD,关于“施救费用”的赔偿上限，下列哪些产品的条款中明确规定最高不超过保险金额？
ins_a_017,insurance,multi,逻辑推理,,某被保险人同时拥有国寿增益宝、众安白血病医疗险、众安营运交通意外险、平安家财险。
ins_a_018,insurance,multi,比较分析,,关于“免赔额”的抵扣，以下哪些说法正确？
ins_a_019,insurance,multi,事实查询,,假设四款产品（平安智盈金生、国寿增益宝、平安安佑福、平安富鸿金生）的投保人均在犹
ins_a_020,insurance,mcq,推理判断,,王某投保了平安e生保（有医保）、太保团体百万医疗（有医保）、众安家财险。某日家中
reg_a_001,regulatory,multi,多选题,,关于《金融机构客户受益所有人识别管理办法》与《金融机构客户尽职调查和客户身份资料
reg_a_002,regulatory,multi,多选题,,结合《中华人民共和国反洗钱法》与《金融机构客户受益所有人识别管理办法》，下列关于
reg_a_003,regulatory,tf,判断题,,根据相关法规，金融机构在处理上市公司受益所有人身份信息时，因包含照片等敏感数据项
reg_a_004,regulatory,multi,多选题,,关于金融机构及银行卡清算机构的报告时限要求，下列说法正确的有？
reg_a_005,regulatory,multi,多选题,,结合《金融机构客户受益所有人识别管理办法》与《非银行支付机构监督管理条例实施细则
reg_a_006,regulatory,tf,判断,B,根据相关规定，金融机构对存量高风险非自然人客户的受益所有人识别核实工作应自新规施
reg_a_007,regulatory,multi,多选,,关于《金融机构客户尽职调查和客户身份资料及交易记录保存管理办法》与《中华人民共和
reg_a_008,regulatory,mcq,单选,,依据《银行卡清算机构管理办法》和《金融机构客户尽职调查和客户身份资料及交易记录保
reg_a_009,regulatory,multi,多选,,结合《中国人民银行业务领域数据安全管理办法》与《金融机构客户尽职调查和客户身份资
reg_a_010,regulatory,tf,判断,,按照现行规定，非银行支付机构董事、监事在同一机构内调任职位的，应当于变更完成后 
reg_a_011,regulatory,multi,multi,,根据相关监管规定，下列哪些情形需要履行特定的内部审批程序或满足特定金额门槛？
reg_a_012,regulatory,multi,multi,ABCD,关于上市公司治理及年度报告编制，以下说法符合规定的有哪些？
reg_a_013,regulatory,tf,tf,,上市公司应当在股东会召开前披露董事候选人，且半年度报告内容应当经上市公司董事会审
reg_a_014,regulatory,multi,multi,,结合上市公司治理准则与章程指引，下列关于股东大会职权及会议规则的描述正确的有哪些
reg_a_015,regulatory,mcq,mcq,,根据《上市公司信息披露管理办法》和《上市公司治理准则》，关于定期报告与利润分配的
reg_a_016,regulatory,multi,多选题,,结合上市公司治理规范与审计机构行政处罚案例，关于公司治理及审计责任，下列说法正确
reg_a_017,regulatory,multi,多选题,AB,关于上市公司治理规范及行政处罚时效的相关规定，下列说法中正确的有哪些？
reg_a_018,regulatory,tf,判断题,,判断题：根据相关监管规定，上市公司定期报告须经董事会审议通过后方可披露，且证券公
reg_a_019,regulatory,multi,多选题,,结合证券公司分类监管规定与市场禁入决定书的案例背景，以下关于违规处理及后果的说法
reg_a_020,regulatory,multi,多选题,,依据相关准则与规定，关于半年度报告的编制要求及监管规定的生效时点，下列描述准确的
fc_a_001,financial_contracts,multi,多选题,ABD,基于提供的两份债券募集说明书摘要，关于发行主体、发行规模及中介机构安排，下列哪些
fc_a_002,financial_contracts,multi,多选题,ABD,对比两份文档中的债券发行要素与评级信息，以下哪些结论成立？
fc_a_003,financial_contracts,tf,判断题,,两份文档均包含关于发行人将及时、公平地履行信息披露义务的明确承诺条款。
fc_a_004,financial_contracts,multi,多选题,A,结合两份文档内容，关于发行限额与财务指标披露情况，下列说法正确的是？
fc_a_005,financial_contracts,multi,多选题,,针对两份文档所涉及的发行主体及交易结构特征，以下哪些判断符合文档内容？
fc_a_006,financial_contracts,tf,判断题,,文档 fc_text_001 和 fc_text_004 均提及了涉及债券持有人
fc_a_007,financial_contracts,multi,多选题,ABD,关于文档 fc_text_002 和 fc_text_014 的内容，下列哪些说
fc_a_008,financial_contracts,mcq,单选题,,结合文档 fc_text_002 和 fc_text_003 的信息，以下哪项描
