qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,353773,290131,643904
ins_a_001,B,2409,4082,6491
ins_a_002,A,3131,2811,5942
ins_a_003,A,2904,3731,6635
ins_a_004,A,5205,2081,7286
ins_a_005,ABC,2935,4577,7512
ins_a_006,C,4445,3849,8294
ins_a_007,C,2676,2528,5204
ins_a_008,ABC,4404,3205,7609
ins_a_009,C,1518,2535,4053
ins_a_010,AB,3107,2933,6040
ins_a_011,BC,3301,4227,7528
ins_a_012,A,2456,2531,4987
ins_a_013,A,3594,3313,6907
ins_a_014,ABD,3033,3884,6917
ins_a_015,AB,2667,3003,5670
ins_a_016,CD,2409,2936,5345
ins_a_017,ABCD,1242,4095,5337
ins_a_018,BCD,2842,3695,6537
ins_a_019,AC,3008,2949,5957
ins_a_020,D,4411,3486,7897
reg_a_001,ACD,1484,3415,4899
reg_a_002,ABC,1284,3178,4462
reg_a_003,A,1134,2081,3215
reg_a_004,ABC,1209,2775,3984
reg_a_005,ABC,1246,3490,4736
reg_a_006,A,1033,2156,3189
reg_a_007,AC,1366,3811,5177
reg_a_008,A,1457,2543,4000
reg_a_009,ABD,1513,3980,5493
reg_a_010,B,1243,1775,3018
reg_a_011,ACD,1648,4229,5877
reg_a_012,ABD,934,5260,6194
reg_a_013,A,1042,1679,2721
reg_a_014,ABD,738,2604,3342
reg_a_015,C,1109,1922,3031
reg_a_016,ABD,3284,4268,7552
reg_a_017,ABC,2431,2972,5403
reg_a_018,A,1083,2106,3189
reg_a_019,BD,3264,2174,5438
reg_a_020,ABD,1064,1947,3011
fc_a_001,ABD,3114,2999,6113
fc_a_002,A,3496,3007,6503
fc_a_003,A,2412,588,3000
fc_a_004,C,3413,4471,7884
fc_a_005,ABD,3388,2481,5869
fc_a_006,B,1269,1502,2771
fc_a_007,A,3296,4439,7735
fc_a_008,B,3428,1878,5306
fc_a_009,AB,3090,3085,6175
fc_a_010,A,3704,2641,6345
fc_a_011,A,2881,2934,5815
fc_a_012,AC,3809,2786,6595
fc_a_013,A,2651,2733,5384
fc_a_014,B,3129,2333,5462
fc_a_015,B,3238,3463,6701
fc_a_016,BC,3923,2284,6207
fc_a_017,AD,3166,2333,5499
fc_a_018,B,2318,2643,4961
fc_a_019,D,3590,2672,6262
fc_a_020,A,2664,3572,6236
fin_a_001,AB,6158,3264,9422
fin_a_002,ABD,5300,4923,10223
fin_a_003,A,3569,4270,7839
fin_a_004,BD,5577,3355,8932
fin_a_005,AD,4845,5638,10483
fin_a_006,A,5582,3339,8921
fin_a_007,ABD,5477,2826,8303
fin_a_008,B,4274,4214,8488
fin_a_009,ABC,5415,4172,9587
fin_a_010,A,4247,2396,6643
fin_a_011,CD,5266,4114,9380
fin_a_012,ABD,5019,3712,8731
fin_a_013,A,3716,1945,5661
fin_a_014,AB,5008,2496,7504
fin_a_015,A,4808,4177,8985
fin_a_016,ABD,3992,5462,9454
fin_a_017,AC,4125,1719,5844
fin_a_018,B,4510,2668,7178
fin_a_019,AB,5602,3041,8643
fin_a_020,AB,5089,3935,9024
res_a_001,ABC,5401,2355,7756
res_a_002,ABC,6062,2437,8499
res_a_003,A,6024,2954,8978
res_a_004,AB,5060,2436,7496
res_a_005,ABC,5900,1855,7755
res_a_006,B,6128,1382,7510
res_a_007,ABC,4678,1847,6525
res_a_008,A,4599,1749,6348
res_a_009,ABC,5230,2004,7234
res_a_010,A,2291,445,2736
res_a_011,BC,5717,2115,7832
res_a_012,ABC,3915,1934,5849
res_a_013,B,5380,1723,7103
res_a_014,ABC,4880,1927,6807
res_a_015,A,3584,1637,5221
res_a_016,ACD,5268,2622,7890
res_a_017,AB,5166,2050,7216
res_a_018,A,6416,1809,8225
res_a_019,AB,4992,1137,6129
res_a_020,AB,6261,2387,8648
