priority,qid,domain,format,deepseek,qwen,score,tags,lean,review_hint,question,verify_note,ds_reason
1,reg_a_017,regulatory,multi,ABC,AB,88,高风险题|Qwen复核不一致|多选|DS存疑|verify改答,倾向Qwen(verify),C项是法条还是案例意见,关于上市公司治理规范及行政处罚时效的相关规定，下列说法中正确的有哪些？,C项仅为当事人申辩意见非法规规定，D项无依据，正确选项为AB。,A符合证据1；B符合证据4；C基于证据1适用范围及行政处罚时效一般规定（证据未直接提及，但根据常识，无连续状态则超过两年时效，此处证据不足但最符合）；D无证据支持现金分红必须在审计报告出具前支付。
2,res_a_006,research,tf,A,B,87,高风险题|Qwen复核不一致|弱项领域|差2项|verify改答,待人工(否定词),核对「除客户资金杠杆」是否改变判断,判断以下陈述是否正确：2008 年至 2025 年前三季度，我国上市券商客户资金杠杆从 1.56 倍提升至 4.09 倍，同期自有资产净利率由 4.3% 降至 ,原文为“除客户资金杠杆”，题干漏“除”字致概念错误,证据原文明确陈述了2008年至2025年前三季度杠杆从1.56倍升至4.09倍，自有资产净利率从4.3%降至1.8%，与问题一致。
3,ins_a_007,insurance,multi,AC,BC,85,高风险题|Qwen复核不一致|多选|差2项|verify改答,倾向Qwen(verify),B项贷款比例是否有条款依据,关于“保单贷款”，以下哪些说法正确？,证据5明确支持B选项贷款比例，初答漏选；证据1支持C选项。,A正确：平安智盈金生条款未明确，但证据1显示平安富鸿金生贷款上限为现金价值80%，且A选项描述与常见规则一致；B错误：国寿增益宝条款（证据7）规定为现金价值扣除欠款后余额的80%，而非现金价值扣除欠款后的80%；C正确：证据1明确个人养老金制度投保不允许保单贷款；D错误：证据1显示非个人养老金制度投保允许保单贷款，故D不正确。
4,fc_a_007,financial_contracts,multi,ABD,A,83,高风险题|Qwen复核不一致|多选|差2项,倾向Qwen(verify),两家文档评级/要素逐项核对,关于文档 fc_text_002 和 fc_text_014 的内容，下列哪些说法是正确的？,证据仅证text14评级AAA，text02仅提监管评级A，无信用评级依据；BCD均无支持。,A: text14显示西部证券主体AAA，text02显示融资租赁公司评级A，非AAA，故A错误；B: text14第16页有发行规模上限，text02第5页有集中度限制，故B正确；C: text14为证券公司，text02为融资租赁公司，故C错误；D: text14有违约情形，text02有事后追偿制度，故D正确。
5,reg_a_012,regulatory,multi,ABD,ABCD,80,高风险题|Qwen复核不一致|多选|verify改答,倾向Qwen(verify),C项「不披露分红原因」限定条件,关于上市公司治理及年度报告编制，以下说法符合规定的有哪些？,证据1限定“具备条件而不分红”才须披露原因，故C正确；ABD均与证据直接对应。,A符合证据1；B符合证据5；C与证据2矛盾，应披露原因；D虽无直接证据，但根据上市公司治理准则及年度报告准则，董事候选人需在股东会前披露，且其他选项均正确，故D正确。
6,ins_a_003,insurance,mcq,D,A,73,高风险题|Qwen复核不一致|差2项|DS存疑,倾向Qwen(verify),补偿型总额上限 vs 分险种加总,李某投保了众安白血病医疗险、平安e生保（计划二，免赔额5000元）、太保团体百万医疗（免赔额1万元）。李某因白血病复发住院，总费用8万元，医保报销3万元，自费5,医疗险为补偿型，总赔付不得超过自费5万，13.5万违反原则，初答错。,众安白血病医疗险的免赔额未在证据中明确，且形态学复发的给付比例也未提供，无法计算赔付金额。
7,fin_a_001,financial_reports,multi,AC,AB,40,弱项领域|多选|差2项|DS存疑,倾向Qwen,核对报表数值与同比方向,根据比亚迪连续两年的年度报告，下列关于公司经营业绩变化的描述中，哪些是准确的？,营收增3.46%，净利降18.97%，现金流降55.69%，研发占比升，选AB。,"A正确：2025年营业收入803,964,958,000元较2024年777,102,455,000元增长3.46%；B错误：净利润32,619,022,000元较40,254,346,000元下降18.97%，但选项说“下滑”正确，但B是“出现下滑”，实际是下降，但注意B描述为“下滑”，与事实一致，但需核对：净利润下降，所以B正确？但证据显示下降，B说“出"
8,fin_a_014,financial_reports,multi,BD,AB,40,弱项领域|多选|差2项|DS存疑,倾向Qwen,核对报表数值与同比方向,基于比亚迪与宁德时代 2025 年年报信息，关于业绩增长与分红政策的描述，正确的选项是？,A增速对比对；B分红50%对；C研发占比7.88%错；D比亚迪现金流降55.69%错。,B选项：宁德时代连续三年以净利润50%现金分红；D选项：宁德时代经营活动现金流净额增长37.35%，比亚迪证据未显示负增长，故均正增长。A选项：宁德时代营收增速17.04%，但比亚迪增速未提供，无法比较；C选项：比亚迪研发费用占比未提供，无法判断。
9,fc_a_001,financial_contracts,multi,ACD,ABD,36,多选|差2项|DS存疑,倾向Qwen,逐选项核对防漏选,基于提供的两份债券募集说明书摘要，关于发行主体、发行规模及中介机构安排，下列哪些描述是准确的？,A、B、D均与证据一致；C错在第二份主体评级为AA+。初答正确。,A选项：第一份文档（text01）第29页明确发行人为广东省广晟控股集团有限公司；B选项：证据中未提及发行金额，无法比较；C选项：text01第183页显示主体信用等级AAA，text02第31页显示主体信用等级AA+，但C选项说“两份文档的主体信用评级均为AAA”错误，但根据证据，第一份为AAA，第二份为AA+，故C不准确；D选项：text02第31页明确
10,fc_a_002,financial_contracts,multi,ABD,A,36,多选|差2项|DS存疑,倾向Qwen,逐选项核对防漏选,对比两份文档中的债券发行要素与评级信息，以下哪些结论成立？,两份主体评级均为AAA；B无金额证据，C债项非负/未评级，D发行人为控股集团。,A：两份文档主体评级均为AAA；B：第二份文档（西部证券）发行金额未明确，但第一份文档无发行金额信息，无法比较，但根据证据第二份文档有多个债券发行，金额可能更高；C：第一份文档明确无债项评级，第二份文档债项评级为AAA正值；D：第二份文档发行人为西部证券股份有限公司，属于证券公司。
