qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,711203,480377,1191580
ins_a_001,B,4909,7157,12066
ins_a_002,A,6317,4832,11149
ins_a_003,A,5846,6262,12108
ins_a_004,A,10427,4944,15371
ins_a_005,ABC,5901,6082,11983
ins_a_006,A,8942,8769,17711
ins_a_007,BC,5380,3936,9316
ins_a_008,ABC,8848,4989,13837
ins_a_009,C,3058,4394,7452
ins_a_010,AB,6241,5220,11461
ins_a_011,BC,6638,5837,12475
ins_a_012,A,4935,5084,10019
ins_a_013,A,7221,4446,11667
ins_a_014,ABD,6088,6664,12752
ins_a_015,AB,5354,5455,10809
ins_a_016,CD,4842,6814,11656
ins_a_017,ABCD,2507,6721,9228
ins_a_018,BCD,5697,4506,10203
ins_a_019,AC,6038,4485,10523
ins_a_020,D,8855,4549,13404
reg_a_001,ACD,3021,5127,8148
reg_a_002,ABC,2604,4015,6619
reg_a_003,A,2283,3966,6249
reg_a_004,ABC,2435,4082,6517
reg_a_005,ABC,2511,5389,7900
reg_a_006,B,2086,4387,6473
reg_a_007,AC,2775,6122,8897
reg_a_008,A,2935,3988,6923
reg_a_009,ABD,3046,5893,8939
reg_a_010,B,2500,3006,5506
reg_a_011,ACD,3317,6738,10055
reg_a_012,ABCD,1894,6937,8831
reg_a_013,A,2097,2970,5067
reg_a_014,ABD,1497,3924,5421
reg_a_015,C,2239,3118,5357
reg_a_016,ABD,6602,4390,10992
reg_a_017,AB,4887,5966,10853
reg_a_018,A,2174,2504,4678
reg_a_019,BD,6559,4614,11173
reg_a_020,ABD,2165,4543,6708
fc_a_001,ABD,6281,4764,11045
fc_a_002,A,7018,5060,12078
fc_a_003,A,4845,967,5812
fc_a_004,A,6871,8543,15414
fc_a_005,ABD,6832,4589,11421
fc_a_006,B,2567,2709,5276
fc_a_007,A,6634,9308,15942
fc_a_008,B,6888,4141,11029
fc_a_009,AB,6207,4196,10403
fc_a_010,A,7441,3397,10838
fc_a_011,A,5793,4267,10060
fc_a_012,ACD,7666,5558,13224
fc_a_013,A,5339,4416,9755
fc_a_014,B,6300,4584,10884
fc_a_015,B,6521,5929,12450
fc_a_016,BC,7891,4551,12442
fc_a_017,AD,6367,4078,10445
fc_a_018,B,4665,4201,8866
fc_a_019,D,7206,3818,11024
fc_a_020,AB,5384,5065,10449
fin_a_001,AB,12358,5440,17798
fin_a_002,ABD,10664,8756,19420
fin_a_003,A,7184,4079,11263
fin_a_004,BD,11199,6712,17911
fin_a_005,AD,9741,7889,17630
fin_a_006,A,11202,6378,17580
fin_a_007,ABD,10974,4145,15119
fin_a_008,D,8590,7573,16163
fin_a_009,ABC,10882,5756,16638
fin_a_010,A,8535,3372,11907
fin_a_011,CD,10585,6657,17242
fin_a_012,ABD,10099,7422,17521
fin_a_013,A,7488,2960,10448
fin_a_014,AB,10056,6609,16665
fin_a_015,A,9670,5956,15626
fin_a_016,AB,8039,7604,15643
fin_a_017,AC,8288,3992,12280
fin_a_018,B,9051,4988,14039
fin_a_019,AB,11258,4808,16066
fin_a_020,AB,10228,5626,15854
res_a_001,ABC,10837,3729,14566
res_a_002,ABC,12161,4162,16323
res_a_003,A,12102,5071,17173
res_a_004,AB,10156,3985,14141
res_a_005,ABC,11833,4363,16196
res_a_006,B,12287,2521,14808
res_a_007,ABC,9403,3793,13196
res_a_008,A,9255,2945,12200
res_a_009,ABC,10499,2466,12965
res_a_010,A,4623,1537,6160
res_a_011,BC,11481,3384,14865
res_a_012,ABC,7863,3492,11355
res_a_013,B,10793,1378,12171
res_a_014,ABC,9796,3038,12834
res_a_015,A,7219,2787,10006
res_a_016,ACD,10580,3924,14504
res_a_017,AB,10369,4030,14399
res_a_018,A,12879,2404,15283
res_a_019,AB,10025,3198,13223
res_a_020,AB,12564,4482,17046
